,Logistic Regression,,,,,,Decision Tree,,,,,,Random Forest,,,,,,Naïve Bayes(Gaussian),,,,,,Support Vector Machine,,,,,,K Nearest Neighbors,,,,
,0.854030501,0.883152174,0.844202899,0.875,0.826086957,,0.808278867,0.801630435,0.778985507,0.777173913,0.782608696,,0.851851852,0.858695652,0.836956522,0.880434783,0.869565217,,0.85620915,0.847826087,0.865942029,0.847826087,0.836956522,,0.825708061,0.8125,0.84057971,0.815217391,0.826086957,,0.860566449,0.836956522,0.873188406,0.902173913,0.836956522
,0.867102397,0.842391304,0.847826087,0.875,0.815217391,,0.753812636,0.798913043,0.815217391,0.793478261,0.858695652,,0.85620915,0.861413043,0.847826087,0.885869565,0.858695652,,0.854030501,0.880434783,0.855072464,0.85326087,0.77173913,,0.832244009,0.801630435,0.84057971,0.788043478,0.880434783,,0.849673203,0.842391304,0.865942029,0.89673913,0.869565217
,0.871459695,0.872282609,0.865942029,0.875,0.869565217,,0.755991285,0.796195652,0.775362319,0.777173913,0.815217391,,0.869281046,0.877717391,0.858695652,0.836956522,0.869565217,,0.834422658,0.831521739,0.869565217,0.875,0.847826087,,0.8583878,0.836956522,0.804347826,0.858695652,0.804347826,,0.840958606,0.883152174,0.876811594,0.885869565,0.934782609
,0.875816993,0.864130435,0.884057971,0.891304348,0.913043478,,0.797385621,0.752717391,0.775362319,0.75,0.826086957,,0.854030501,0.872282609,0.855072464,0.891304348,0.923913043,,0.847494553,0.869565217,0.873188406,0.875,0.891304348,,0.832244009,0.828804348,0.826086957,0.842391304,0.782608696,,0.82788671,0.828804348,0.836956522,0.847826087,0.826086957
,0.840958606,0.877717391,0.84057971,0.864130435,0.826086957,,0.788671024,0.79076087,0.807971014,0.744565217,0.804347826,,0.847494553,0.858695652,0.851449275,0.907608696,0.836956522,,0.854030501,0.85326087,0.865942029,0.831521739,0.869565217,,0.825708061,0.804347826,0.815217391,0.820652174,0.858695652,,0.869281046,0.85326087,0.844202899,0.798913043,0.847826087
,0.860566449,0.864130435,0.844202899,0.885869565,0.858695652,,0.793028322,0.788043478,0.72826087,0.809782609,0.77173913,,0.860566449,0.869565217,0.862318841,0.864130435,0.826086957,,0.854030501,0.869565217,0.833333333,0.858695652,0.891304348,,0.82788671,0.83423913,0.847826087,0.809782609,0.847826087,,0.860566449,0.847826087,0.833333333,0.842391304,0.880434783
,0.836601307,0.861413043,0.862318841,0.880434783,0.858695652,,0.77124183,0.785326087,0.77173913,0.804347826,0.782608696,,0.8583878,0.861413043,0.865942029,0.864130435,0.923913043,,0.854030501,0.839673913,0.862318841,0.820652174,0.880434783,,0.801742919,0.796195652,0.84057971,0.815217391,0.869565217,,0.834422658,0.845108696,0.865942029,0.864130435,0.891304348
,0.895424837,0.8125,0.862318841,0.880434783,0.826086957,,0.777777778,0.809782609,0.75,0.77173913,0.815217391,,0.867102397,0.891304348,0.833333333,0.875,0.891304348,,0.85620915,0.85326087,0.851449275,0.842391304,0.782608696,,0.823529412,0.83423913,0.84057971,0.858695652,0.880434783,,0.851851852,0.847826087,0.836956522,0.858695652,0.847826087
,0.860566449,0.85326087,0.873188406,0.842391304,0.891304348,,0.795206972,0.801630435,0.757246377,0.744565217,0.717391304,,0.85620915,0.839673913,0.858695652,0.869565217,0.869565217,,0.860566449,0.850543478,0.862318841,0.831521739,0.77173913,,0.823529412,0.788043478,0.84057971,0.820652174,0.847826087,,0.88671024,0.850543478,0.844202899,0.85326087,0.869565217
,0.871459695,0.855978261,0.855072464,0.869565217,0.869565217,,0.777777778,0.828804348,0.797101449,0.755434783,0.717391304,,0.867102397,0.842391304,0.884057971,0.869565217,0.902173913,,0.867102397,0.858695652,0.851449275,0.847826087,0.782608696,,0.840958606,0.831521739,0.804347826,0.826086957,0.836956522,,0.847494553,0.845108696,0.876811594,0.864130435,0.782608696
,0.877995643,0.883152174,0.847826087,0.885869565,0.760869565,,0.773420479,0.796195652,0.797101449,0.782608696,0.717391304,,0.880174292,0.877717391,0.855072464,0.831521739,0.913043478,,0.854030501,0.875,0.855072464,0.880434783,0.847826087,,0.784313725,0.820652174,0.826086957,0.793478261,0.858695652,,0.854030501,0.845108696,0.84057971,0.875,0.902173913
,0.871459695,0.845108696,0.862318841,0.875,0.847826087,,0.762527233,0.760869565,0.807971014,0.820652174,0.75,,0.847494553,0.883152174,0.876811594,0.869565217,0.836956522,,0.851851852,0.855978261,0.829710145,0.847826087,0.880434783,,0.838779956,0.801630435,0.822463768,0.864130435,0.793478261,,0.847494553,0.850543478,0.869565217,0.836956522,0.847826087
,0.843137255,0.883152174,0.862318841,0.842391304,0.815217391,,0.773420479,0.782608696,0.789855072,0.788043478,0.75,,0.869281046,0.858695652,0.880434783,0.842391304,0.869565217,,0.873638344,0.850543478,0.847826087,0.858695652,0.869565217,,0.825708061,0.826086957,0.789855072,0.869565217,0.869565217,,0.845315904,0.855978261,0.84057971,0.804347826,0.836956522
,0.860566449,0.836956522,0.836956522,0.864130435,0.902173913,,0.801742919,0.796195652,0.807971014,0.760869565,0.75,,0.877995643,0.872282609,0.865942029,0.864130435,0.880434783,,0.849673203,0.85326087,0.855072464,0.880434783,0.880434783,,0.82788671,0.826086957,0.829710145,0.836956522,0.804347826,,0.862745098,0.855978261,0.855072464,0.842391304,0.836956522
,0.8583878,0.861413043,0.836956522,0.880434783,0.891304348,,0.749455338,0.779891304,0.75,0.864130435,0.836956522,,0.860566449,0.858695652,0.880434783,0.875,0.847826087,,0.85620915,0.864130435,0.880434783,0.918478261,0.880434783,,0.845315904,0.809782609,0.836956522,0.820652174,0.902173913,,0.840958606,0.839673913,0.833333333,0.815217391,0.858695652
,0.864923747,0.883152174,0.858695652,0.85326087,0.880434783,,0.806100218,0.788043478,0.797101449,0.766304348,0.782608696,,0.871459695,0.875,0.858695652,0.831521739,0.913043478,,0.8583878,0.877717391,0.84057971,0.885869565,0.836956522,,0.832244009,0.831521739,0.836956522,0.793478261,0.858695652,,0.849673203,0.823369565,0.862318841,0.875,0.880434783
,0.877995643,0.875,0.851449275,0.842391304,0.836956522,,0.753812636,0.769021739,0.75,0.739130435,0.793478261,,0.85620915,0.861413043,0.836956522,0.891304348,0.891304348,,0.888888889,0.85326087,0.887681159,0.847826087,0.934782609,,0.810457516,0.815217391,0.811594203,0.809782609,0.826086957,,0.840958606,0.855978261,0.84057971,0.85326087,0.858695652
,0.864923747,0.864130435,0.858695652,0.880434783,0.858695652,,0.806100218,0.760869565,0.800724638,0.777173913,0.72826087,,0.877995643,0.861413043,0.902173913,0.842391304,0.847826087,,0.864923747,0.845108696,0.884057971,0.847826087,0.815217391,,0.790849673,0.839673913,0.822463768,0.836956522,0.815217391,,0.832244009,0.883152174,0.84057971,0.836956522,0.836956522
,0.862745098,0.831521739,0.884057971,0.858695652,0.858695652,,0.762527233,0.739130435,0.768115942,0.766304348,0.75,,0.85620915,0.880434783,0.873188406,0.85326087,0.858695652,,0.849673203,0.861413043,0.902173913,0.842391304,0.847826087,,0.834422658,0.845108696,0.822463768,0.809782609,0.869565217,,0.867102397,0.850543478,0.836956522,0.85326087,0.77173913
,0.877995643,0.861413043,0.84057971,0.885869565,0.858695652,,0.777777778,0.823369565,0.793478261,0.798913043,0.72826087,,0.873638344,0.885869565,0.855072464,0.880434783,0.913043478,,0.864923747,0.864130435,0.844202899,0.864130435,0.793478261,,0.819172113,0.820652174,0.800724638,0.842391304,0.836956522,,0.869281046,0.872282609,0.851449275,0.815217391,0.836956522
,0.873638344,0.869565217,0.855072464,0.847826087,0.869565217,,0.766884532,0.779891304,0.775362319,0.766304348,0.72826087,,0.862745098,0.877717391,0.876811594,0.842391304,0.815217391,,0.877995643,0.864130435,0.851449275,0.85326087,0.891304348,,0.82788671,0.83423913,0.84057971,0.820652174,0.880434783,,0.864923747,0.866847826,0.884057971,0.864130435,0.858695652
,0.867102397,0.894021739,0.815217391,0.885869565,0.858695652,,0.795206972,0.779891304,0.793478261,0.809782609,0.77173913,,0.836601307,0.872282609,0.855072464,0.847826087,0.902173913,,0.875816993,0.847826087,0.851449275,0.869565217,0.815217391,,0.819172113,0.864130435,0.797101449,0.847826087,0.75,,0.854030501,0.850543478,0.84057971,0.858695652,0.77173913
